Epoch	TotalEnvInteracts	worker/CostLimit	worker/noise	learner/VVals	learner/CostVVals	worker/EpRet	worker/EpLen	worker/EpCost	learner/LossQ	learner/LossQC	learner/StopIter	learner/LossPi	learner/Lagrangian	learner/QcRet	learner/KL	learner/Entropy	learner/ClipFrac	learner/LossQcPenalty	learner/LossVallina	learner/LossKLAdv	learner/LossVC	learner/LossV	Eval/NaturalReward	Eval/NaturalCost	Eval/AdvUniformReward	Eval/AdvUniformCost	worker/Epoch	worker/Time
0	80000	1.5	0.0	0.08373152	0.047062233	-1819.8579	1219.0	466.03638	2.1176486	0.006087734	4.0	9.382365	48.01288	36.526356	0.016075375	0.92092425	0.2432375	459.48184	0.0238706	1.5812999e-06	1380.089	19699.197	-2001.2024	471.72064	-2001.2407	471.71954	0.0	44.171467
1	160000	1.5	0.0	-57.066387	38.77745	-1999.1423	1219.0	469.10333	1.2763555	0.0009250155	15.0	0.21070306	49.251995	39.673664	0.015284091	0.9281244	0.2012375	10.463056	-0.0033957954	7.720023e-06	6.7259974	10456.9375	-1839.9336	468.33142	-1840.0352	468.3313	1.0	90.51823
2	240000	1.5	0.0023027735	-149.49219	39.57708	-1837.0459	1219.0	465.62418	1.1586957	0.0003823415	7.0	-0.03152982	50.287445	39.670925	0.01884575	0.93097395	0.3018125	-1.7305782	0.0021621624	1.019609e-05	1.8773748	504.3064	-1628.3018	464.6785	-1628.2615	464.6783	2.0	135.17157
3	320000	1.5	0.004252031	-147.89197	39.610004	-1647.0018	1219.0	461.53976	1.1590679	0.00025406637	7.0	-0.11234241	51.25591	39.474995	0.016594116	0.9330605	0.24905	-5.9451632	-0.00044995747	1.2912068e-05	1.947399	470.29764	-1435.46	460.1498	-1435.3348	460.13434	3.0	179.94739
4	400000	1.5	0.0059020403	-133.99278	39.42731	-1478.2461	1219.0	456.61905	1.0653579	0.00023349859	7.0	-0.161587	52.116302	39.165127	0.016148474	0.93362814	0.24415	-8.760483	-0.005957387	1.8779558e-05	2.5958245	381.6166	-1251.232	453.47403	-1251.2548	453.4553	4.0	224.89041
5	480000	1.5	0.0072987443	-120.221436	39.090214	-1308.9132	1219.0	449.4674	1.0324014	0.00023213025	7.0	-0.21945886	52.73437	38.6593	0.019397309	0.9324902	0.3066	-11.981802	-0.00714994	2.5967449e-05	3.7190742	340.6198	-1039.9515	440.2367	-1040.0343	440.22247	5.0	269.66852
6	560000	1.5	0.008481027	-106.17348	38.461643	-1126.4753	1219.0	436.7274	0.9802598	0.00018441967	6.0	-0.3159419	52.765617	37.704723	0.016336266	0.9311571	0.2652625	-17.186296	-0.011140573	3.0404914e-05	5.9819975	339.26233	-846.48035	420.20044	-846.6646	420.22894	6.0	314.413
7	640000	1.5	0.009481809	-91.26758	37.4601	-979.46356	1219.0	422.58035	0.8858404	0.00016870335	6.0	-0.35089168	52.613983	36.584583	0.016465351	0.9296379	0.26275	-19.063429	-0.012151004	3.070859e-05	7.685384	258.34537	-666.33386	385.57962	-666.23083	385.64914	7.0	359.146
8	720000	1.5	0.010328949	-78.74591	36.02218	-839.3392	1219.0	401.29153	0.8009981	0.00016446754	7.0	-0.4237379	51.678467	34.816914	0.017972283	0.9277591	0.280275	-22.764297	-0.012338476	2.5527506e-05	9.494381	217.95813	-493.93375	302.1115	-493.92746	302.06168	8.0	403.9997
9	800000	1.5	0.011046043	-66.765366	33.660442	-706.04614	1219.0	369.77554	0.7250344	0.00015745433	9.0	-0.4725952	49.66037	32.159092	0.015677739	0.92393976	0.2612125	-24.497446	-0.012665754	1.526392e-05	10.672554	175.86354	-379.0122	117.11235	-379.16214	117.08882	9.0	449.32443
10	880000	1.5	0.01165305	-55.66313	30.013353	-591.31976	1219.0	323.13782	0.63448393	0.0002030234	17.0	-0.53543764	45.98215	28.138994	0.015340234	0.9120121	0.216475	-25.690939	-0.015400046	2.754841e-06	12.012382	118.36195	-245.89845	67.72613	-245.85963	67.75087	10.0	496.26044
