Epoch	TotalEnvInteracts	worker/CostLimit	worker/noise	learner/VVals	learner/CostVVals	worker/EpRet	worker/EpLen	worker/EpCost	learner/LossQ	learner/LossQC	learner/StopIter	learner/LossPi	learner/Lagrangian	learner/QcRet	learner/KL	learner/Entropy	learner/ClipFrac	learner/LossQcPenalty	learner/LossVallina	learner/LossKLAdv	learner/LossVC	learner/LossV	Eval/NaturalReward	Eval/NaturalCost	Eval/AdvUniformReward	Eval/AdvUniformCost	worker/Epoch	worker/Time
0	80000	1.5	0.0	0.0059754183	-0.11591515	-1720.3665	1219.0	463.84384	1.7240055	0.0058838516	5.0	9.376032	47.78236	36.378914	0.022065716	0.92144483	0.3135375	456.6424	-0.0040654554	7.443681e-06	1382.9072	17557.94	-1485.4779	462.16232	-1485.454	462.15405	0.0	46.123466
1	160000	1.5	0.0	-72.43779	38.98268	-1515.4807	1219.0	458.3432	0.91786593	0.0010365143	55.0	-0.06979065	48.13648	38.915894	0.015807847	0.94258964	0.2012625	-3.4798598	0.024516242	6.023093e-07	16.071339	2685.0608	-1664.5988	465.38132	-1664.6074	465.38684	1.0	101.51351
2	240000	1.5	0.0023027735	-115.82859	38.852074	-1688.7675	1219.0	462.4634	1.0564543	0.00040000537	8.0	0.060481906	49.918175	39.33595	0.018671207	0.94267756	0.27025	3.000875	-0.0027302909	9.199853e-06	4.9825	816.7635	-1464.4119	459.79736	-1464.3785	459.80048	2.0	147.3297
3	320000	1.5	0.004252031	-134.20657	39.21582	-1507.0099	1219.0	456.50452	1.1104356	0.00018858416	4.0	-0.12834428	50.690506	39.098232	0.016474744	0.94105333	0.25435	-6.7608414	-0.007409281	1.9281872e-05	3.289576	336.85406	-1276.8348	452.69165	-1276.678	452.69058	3.0	192.45337
4	400000	1.5	0.0059020403	-122.39889	39.021004	-1328.2709	1219.0	448.60678	1.0109708	0.00016840771	4.0	-0.22935228	51.236305	38.610626	0.020760154	0.93937296	0.3262125	-12.167617	-0.007189906	2.2627873e-05	4.869866	343.67526	-1055.6442	439.71667	-1055.5233	439.69788	4.0	237.61156
5	480000	1.5	0.0072987443	-108.11607	38.495	-1143.3203	1219.0	436.64413	0.983003	0.00017789341	4.0	-0.34131894	51.342308	37.731747	0.022866016	0.9377709	0.3460375	-18.109053	-0.007975114	2.6439613e-05	8.19964	343.313	-824.50116	414.64792	-824.54144	414.71738	5.0	282.71704
6	560000	1.5	0.008481027	-92.702866	37.502632	-961.2667	1219.0	417.98828	0.876362	0.00016522151	4.0	-0.48336652	50.722965	36.26982	0.020615926	0.9358941	0.3203625	-25.28217	-0.010922659	3.0095262e-05	13.966283	317.9335	-619.5039	368.50296	-619.5151	368.46747	6.0	327.90582
7	640000	1.5	0.009481809	-77.4988	35.892467	-806.82947	1219.0	393.4856	0.78484184	0.00018777062	5.0	-0.59095156	49.44696	34.249073	0.021609766	0.9330005	0.3331125	-30.199482	-0.011494949	2.1163434e-05	19.422243	234.25383	-447.41318	218.13805	-447.3609	218.17744	7.0	373.2826
8	720000	1.5	0.010328949	-64.50892	33.362476	-666.0564	1219.0	355.63455	0.6782777	0.00022360086	7.0	-0.74506974	46.694572	31.084454	0.01777117	0.9271707	0.26725	-35.86868	-0.014367237	8.28123e-06	26.856918	178.56325	-332.2089	37.17212	-332.14627	37.37738	8.0	419.0041
9	800000	1.5	0.011046043	-52.618664	28.973675	-545.11926	1219.0	288.88513	0.56606734	0.00024056449	67.0	-1.0344268	40.954445	25.409187	0.015027692	0.8657627	0.1655125	-43.84578	-0.017179215	7.521028e-09	33.411995	107.36449	-86.376434	288.5183	-86.65051	288.37595	9.0	477.2196
