Epoch	TotalEnvInteracts	worker/CostLimit	worker/noise	learner/VVals	learner/CostVVals	worker/EpRet	worker/EpLen	worker/EpCost	learner/LossQ	learner/LossQC	learner/StopIter	learner/LossPi	learner/Lagrangian	learner/QcRet	learner/KL	learner/Entropy	learner/ClipFrac	learner/LossQcPenalty	learner/LossVallina	learner/LossKLAdv	learner/LossVC	learner/LossV	Eval/NaturalReward	Eval/NaturalCost	Eval/AdvUniformReward	Eval/AdvUniformCost	worker/Epoch	worker/Time
0	80000	1.5	0.0	0.044043947	-0.025230868	-1880.5641	1219.0	467.7595	2.2547498	0.007139218	5.0	9.433152	48.189274	36.613464	0.020153424	0.91643244	0.2994875	463.82224	-0.0028842755	1.2590749e-06	1391.1873	21004.785	-1672.4303	466.32352	-1672.4872	466.32523	0.0	44.868923
1	160000	1.5	0.0	-60.233425	39.530853	-1694.3915	1219.0	463.29453	1.0317914	0.001518814	5.0	-0.09134995	48.648582	39.35083	0.017037103	0.91483504	0.2474375	-4.667819	-0.0025864246	4.7400595e-06	8.857282	5750.4897	-1487.3292	462.0365	-1487.4906	462.0461	1.0	90.35606
2	240000	1.5	0.0023027735	-127.023415	39.196213	-1516.5802	1219.0	458.12836	0.9301033	0.0008581305	6.0	-0.09543262	49.502384	39.1358	0.02046512	0.9138621	0.3186625	-5.0041075	0.0015390287	8.486092e-06	3.4755566	416.1232	-1275.0167	454.70297	-1274.9279	454.7059	2.0	135.17857
3	320000	1.5	0.004252031	-121.086266	39.012043	-1323.7135	1219.0	449.54456	0.8712863	0.0005558635	6.0	-0.2105159	49.99382	38.612858	0.020201117	0.913084	0.3159875	-10.932337	-0.0026919034	3.4079214e-05	3.9591882	403.9583	-1063.9979	440.7355	-1064.0417	440.73865	3.0	181.04166
4	400000	1.5	0.0059020403	-106.59833	38.433105	-1148.6143	1219.0	437.01364	0.7847436	0.00044196146	6.0	-0.32155198	50.045597	37.693142	0.020317977	0.91297346	0.3142125	-16.698921	-0.0068646898	4.3855096e-05	6.502019	324.7382	-853.93304	419.8554	-853.6361	419.83777	4.0	225.91956
5	480000	1.5	0.0072987443	-92.51125	37.497124	-976.89923	1219.0	422.0209	0.7204231	0.00035116094	6.0	-0.41056383	49.796246	36.457573	0.018212905	0.9124268	0.2891125	-21.094397	-0.011476586	4.7192978e-05	10.007185	301.12045	-662.79987	382.9578	-662.57465	382.8945	5.0	270.81107
6	560000	1.5	0.008481027	-78.04579	36.158028	-837.5173	1219.0	401.94525	0.6841219	0.00029321705	7.0	-0.49056968	49.006462	34.85561	0.018719029	0.9098167	0.28195	-24.813437	-0.0128429	4.1905983e-05	14.518971	211.6302	-492.59885	302.92917	-492.62814	302.77835	6.0	315.9593
7	640000	1.5	0.009481809	-66.60828	34.262592	-703.39197	1219.0	372.31458	0.6018938	0.00026871747	9.0	-0.6341501	47.15101	32.408905	0.01653056	0.9055177	0.2654	-30.912388	-0.012281554	2.6501379e-05	21.332508	188.07199	-374.3309	124.83607	-374.45383	125.06296	7.0	361.46887
8	720000	1.5	0.010328949	-55.488827	31.119308	-588.46936	1219.0	323.4856	0.53634775	0.00019034246	16.0	-0.86909217	43.251705	28.28819	0.015407199	0.8962889	0.2088625	-38.83031	-0.013509	5.819075e-06	29.880432	125.07621	-246.69048	67.919426	-246.71378	67.96167	8.0	408.34348
9	800000	1.5	0.011046043	-45.545372	24.999113	-492.47586	1219.0	231.54346	0.44692093	0.00020401804	149.0	-1.28573	34.73442	20.363468	0.013372837	0.8024482	0.0999625	-46.15823	-0.013917531	1.5252649e-08	39.609913	59.45743	-52.49947	319.92682	-52.52036	319.7629	9.0	481.6659
