Epoch	TotalEnvInteracts	worker/CostLimit	worker/noise	learner/VVals	learner/CostVVals	worker/EpRet	worker/EpLen	worker/EpCost	learner/LossQ	learner/LossQC	learner/StopIter	learner/LossPi	learner/Lagrangian	learner/QcRet	learner/KL	learner/Entropy	learner/ClipFrac	learner/LossQcPenalty	learner/LossVallina	learner/LossVC	learner/LossV	Eval/NaturalReward	Eval/NaturalCost	Eval/AdvUniformReward	Eval/AdvUniformCost	worker/Epoch	worker/Time
0	80000	1.5	0.0	0.0059754183	-0.11591515	-1720.3665	1219.0	463.84384	1.7240055	0.0058838516	5.0	9.37603	47.78236	36.378914	0.021626983	0.92144483	0.3072375	456.64905	-0.0042464067	1382.9072	17557.94	-1487.841	462.2613	-1487.7655	462.26312	0.0	43.80166
1	160000	1.5	0.0	-72.438675	38.98318	-1515.1741	1219.0	458.29712	0.93464965	0.0010702625	5.0	-0.06836346	48.139477	38.923317	0.01940219	0.9225884	0.3011	-3.5266328	0.00033125267	16.09869	2696.4143	-1281.3496	455.168	-1281.2688	455.14877	1.0	87.66906
2	240000	1.5	0.0023027735	-115.160034	38.63123	-1336.0837	1219.0	449.82855	0.81358564	0.00039619114	5.0	-0.1336847	48.62871	38.47598	0.019626833	0.92313284	0.2973875	-6.8921213	-0.0012157274	7.2510705	372.26385	-1075.3123	441.76785	-1075.3395	441.7646	2.0	244.43074
3	320000	1.5	0.004252031	-106.53599	38.366962	-1159.466	1219.0	438.13858	0.7661567	0.00018213484	5.0	-0.29838464	48.76959	37.707	0.018864257	0.9237432	0.291825	-15.143838	-0.007349606	6.9953704	320.98584	-872.4595	422.4055	-872.42596	422.3824	3.0	401.97632
4	400000	1.5	0.0059020403	-92.908936	37.501686	-995.11725	1219.0	423.6382	0.67848384	0.00016767827	5.0	-0.388478	48.584026	36.58425	0.015736647	0.9232597	0.2601375	-19.515171	-0.011712196	10.271906	280.07376	-689.58374	390.47943	-689.8123	390.61682	4.0	559.5483
5	480000	1.5	0.0072987443	-79.51104	36.30371	-852.51605	1219.0	404.60406	0.66393983	0.0001977772	6.0	-0.48245546	47.9078	35.077423	0.017953333	0.9216518	0.2891875	-23.952421	-0.011727483	15.204312	221.05302	-511.17575	317.85733	-511.4173	318.15576	5.0	717.0336
6	560000	1.5	0.008481027	-67.77464	34.608307	-721.9419	1219.0	375.9747	0.6205319	0.00022674611	8.0	-0.6511074	46.182655	32.725407	0.018324884	0.9175176	0.2840875	-31.105022	-0.01201813	22.789213	174.9569	-385.54663	140.37881	-385.6273	140.54596	6.0	874.42847
7	640000	1.5	0.009481809	-56.800625	31.578552	-597.9362	1219.0	328.20984	0.5349899	0.0003105992	16.0	-0.9063681	42.322792	28.660904	0.015562671	0.90593535	0.230825	-39.696667	-0.0134378895	33.12289	133.1332	-254.97844	58.44929	-255.20132	58.29797	7.0	1033.357
8	720000	1.5	0.010328949	-46.350845	25.532791	-496.04398	1219.0	238.78809	0.4551197	0.00034435614	149.0	-1.2612424	34.178513	21.043736	0.013124409	0.8122359	0.1002875	-44.588825	-0.013983156	40.47113	65.136116	-60.418636	311.63443	-59.992886	311.79962	8.0	1202.3446
9	800000	1.5	0.011046043	-38.843708	17.067862	-417.46222	1219.0	134.72997	0.33438998	0.0005148007	149.0	-1.4015669	24.219746	11.68519	0.006724937	0.7311379	0.062	-35.404167	-0.0077327513	39.80968	39.233887	-20.821728	336.4246	-21.12196	337.0376	9.0	1371.0393
10	880000	1.5	0.01165305	-33.977116	10.644979	-392.74594	1219.0	106.40869	0.29378325	0.0006053933	149.0	-0.4883849	21.741657	8.800511	0.006433579	0.6527123	0.0596	-11.169138	-0.008164405	10.9669075	18.85316	-12.442352	332.97177	-12.586068	333.45563	10.0	1539.7228
11	960000	1.5	0.012166867	-31.53408	7.391045	-364.32996	1219.0	80.36874	0.2758432	0.0008328732	149.0	-0.22963561	19.384651	6.51842	0.005952576	0.5754363	0.0567125	-4.7368436	-0.0080895955	6.241496	14.7418	-9.057765	332.40964	-9.0823765	332.4078	11.0	1708.6039
12	1040000	1.5	0.012601807	-29.2758	4.9598994	-342.20554	1219.0	61.872044	0.23186421	0.00064819737	149.0	0.012367846	17.723072	5.0323086	0.0065093874	0.49879834	0.0576	0.20290542	-0.007205772	3.3845618	12.330502	-7.874215	332.48953	-7.8715262	332.48993	12.0	1877.7856
13	1120000	1.5	0.012969971	-27.550821	4.7146583	-315.43002	1219.0	45.329224	0.20374198	0.0005022305	149.0	-0.24464522	16.210829	3.6957743	0.0055187712	0.4261809	0.0507375	-4.22829	-0.0071638846	6.0297	13.260571	-6.9574594	332.5627	-6.952567	332.56555	13.0	2046.291
14	1200000	1.5	0.0132816145	-25.249886	2.7245214	-298.76648	1219.0	39.553818	0.1852972	0.000314617	149.0	0.14328764	15.7561455	3.3123531	0.004748717	0.36362645	0.0383875	2.3908608	-0.0066266013	2.9654813	8.394868	-7.0344977	332.55606	-7.0499	332.55215	14.0	2215.2607
15	1280000	1.5	0.013545423	-23.98651	3.0932276	-281.73727	1219.0	36.30462	0.17013302	0.00015972034	149.0	0.012772008	15.539097	3.1370423	0.002340023	0.32115507	0.015	0.20970918	-0.0054802033	3.6660683	8.119026	-5.5591564	332.69748	-5.5740247	332.69424	15.0	2383.0654
16	1360000	1.5	0.013768726	-22.744787	3.14998	-271.20697	1219.0	36.111046	0.16551673	0.00023340239	149.0	0.019888278	15.610105	3.2290554	0.000940823	0.29111814	0.00445	0.3314127	-0.004316424	3.5775476	6.887772	-3.7058787	332.88815	-3.6891656	332.8907	16.0	2551.5486
17	1440000	1.5	0.013957752	-21.777687	3.1278965	-265.39023	1219.0	36.497505	0.16475037	0.00014507337	149.0	0.069980994	15.751413	3.4157634	0.0014447205	0.24917507	0.012825	1.1714149	-0.0053053303	3.3622954	5.7712655	-3.224267	332.93494	-3.2321963	332.93372	17.0	2718.4639
18	1520000	1.5	0.014117749	-21.34108	3.4398363	-254.24947	1219.0	38.08683	0.15765078	5.427337e-05	149.0	0.08831317	16.016874	3.8051965	0.0016342266	0.20931295	0.01245	1.5029877	-0.005433354	4.0637345	6.2004905	-4.6359324	332.77515	-4.633915	332.778	18.0	2886.2947
19	1600000	1.5	0.014253196	-20.565685	3.955325	-245.23969	1219.0	40.595646	0.1483502	0.0001697413	149.0	0.08299089	16.380844	4.296208	0.00032445387	0.2270832	0.0006625	1.4386631	0.0026263886	4.2684507	5.520256	-4.0786505	332.83057	-4.064351	332.831	19.0	3053.24
20	1680000	1.5	0.014367847	-19.846027	4.255385	-247.23962	1219.0	39.962154	0.16307658	0.00014489854	147.0	0.053720947	16.429232	4.479208	0.025075529	0.2228594	0.1284625	0.8615013	0.035076015	3.121148	4.9506397	-257.39575	100.09755	-257.45212	100.105385	20.0	3222.997
21	1760000	1.5	0.014464887	-20.385744	4.1660376	-282.2323	1219.0	35.73412	0.19999743	0.00027888012	7.0	-0.0035335151	16.113874	4.142797	0.017990386	0.22123627	0.0579625	-0.08338113	0.00879413	3.6206305	11.877941	-281.04398	81.652504	-280.85266	81.430275	21.0	3380.185
22	1840000	1.5	0.014547037	-22.609957	4.188861	-290.44894	1219.0	29.561165	0.20934257	0.00018446273	19.0	-0.14832218	15.59326	3.5522802	0.016610656	0.21991563	0.149825	-2.525963	0.034654636	3.2501314	13.631305	-284.2361	46.75395	-283.64435	46.725883	22.0	3538.0532
23	1920000	1.5	0.014616577	-23.827648	3.1310904	-317.18723	1219.0	21.166965	0.23191269	0.000290609	2.0	-0.14794177	14.821453	2.5140295	0.02248266	0.21987388	0.16105	-2.3890147	0.04280104	4.020699	29.217884	-332.24512	15.167855	-332.24417	15.179572	23.0	3695.0066
24	2000000	1.5	0.014675439	-26.249956	2.3296053	-355.87262	1219.0	22.112272	0.25847188	0.00041506928	4.0	-0.08707056	14.97869	1.9644035	0.021184774	0.21974424	0.0677625	-1.4421799	0.02178371	6.6699414	46.405704	-350.6721	4.035569	-348.60205	4.0867243	24.0	3851.8887
25	2080000	1.5	0.014725265	-29.0602	1.5214261	-374.39896	1219.0	11.044519	0.28122506	0.00030687015	4.0	-0.14277777	13.924855	0.9185675	0.0191518	0.21940352	0.1755125	-2.1669319	0.0136063015	1.7005887	80.767845	-323.5015	31.196365	-323.63382	31.145458	25.0	4008.8457
26	2160000	1.5	0.014767439	-30.242594	0.37162465	-366.3901	1219.0	2.8596058	0.27198878	0.00018107313	149.0	-0.031416915	13.111285	0.2405332	0.0035136105	0.19466123	0.03415	-0.4488212	-0.0022592463	0.18645066	108.0515	-314.1312	61.10486	-313.70697	60.587048	26.0	4177.904
27	2240000	1.5	0.014803143	-29.878393	0.22286038	-351.31644	1219.0	2.9266746	0.2564622	0.0003119377	149.0	0.0049434816	13.121395	0.24768037	0.001182673	0.1694909	0.010925	0.06851985	-0.0009471304	0.15539709	104.440895	-310.32925	71.31172	-310.6236	70.782005	27.0	4347.157
28	2320000	1.5	0.014833362	-28.056822	0.24164997	-347.52817	1219.0	4.2316394	0.2673045	0.00021833768	149.0	0.02712172	13.259123	0.3595581	0.0016840164	0.15354455	0.0218125	0.38084248	0.001925363	0.1862002	112.322365	-315.72342	67.98266	-315.68945	67.678734	28.0	4517.8276
29	2400000	1.5	0.014858946	-28.523174	0.35442165	-351.5402	1219.0	2.6039927	0.25947332	0.00012858419	149.0	-0.031864773	13.100705	0.22148311	0.0014283982	0.13610077	0.0179375	-0.45648217	0.002556758	0.15966879	118.42265	-323.76627	62.0391	-323.68582	61.866608	29.0	4687.5327
30	2480000	1.5	0.0148806	-28.89654	0.20451319	-364.3575	1219.0	1.141788	0.2634055	0.00014946931	149.0	-0.027728867	12.993126	0.091901235	0.00089058874	0.13651633	0.0138	-0.39036065	0.0009386282	0.09644267	141.94485	-327.46198	64.75204	-327.6178	64.38901	30.0	4857.3022
31	2560000	1.5	0.014898927	-30.43606	0.100422874	-371.2325	1219.0	1.5219928	0.26570415	0.00013048138	149.0	0.005121509	12.993497	0.12476749	0.0005012718	0.12562108	0.0033125	0.07148496	-0.00047451316	0.045612704	132.15811	-325.44388	64.90187	-325.33514	64.81533	31.0	5026.351
32	2640000	1.5	0.014914451	-30.042019	0.122874856	-363.2347	1219.0	1.181744	0.27875003	7.6368706e-05	149.0	-0.00659818	12.99212	0.0956948	0.0010131493	0.110885024	0.0121375	-0.094361596	0.00043767714	0.01946325	117.75105	-331.58682	59.05968	-331.8331	58.964554	32.0	5196.338
33	2720000	1.5	0.01492758	-29.802074	0.09336649	-365.3552	1219.0	1.2702829	0.27478552	7.6293436e-05	149.0	0.0020442058	12.991459	0.104022525	0.0007770792	0.094284296	0.00535	0.02827935	-0.0005557769	0.024151765	126.831436	-333.18042	57.2744	-332.68365	57.839123	33.0	5369.264
34	2800000	1.5	0.014938699	-29.540316	0.11030338	-361.02408	1219.0	1.3563242	0.27289084	6.0049504e-05	149.0	-0.00024910338	12.990965	0.11105486	0.0010563572	0.075392246	0.0093375	-0.005262455	0.0003266882	0.019809932	137.58777	-337.69333	51.82991	-337.75607	52.014534	34.0	5539.6064
35	2880000	1.5	0.014948113	-29.85686	0.10566046	-369.09738	1219.0	1.4288871	0.2593095	8.328774e-05	149.0	0.0022623364	12.990675	0.11735615	0.000755949	0.060424928	0.0022625	0.03160854	-0.0007237677	0.033270787	149.90387	-334.795	55.79883	-334.6343	55.757805	35.0	5711.349
36	2960000	1.5	0.014956073	-30.889206	0.12838918	-367.9643	1219.0	1.4002402	0.26351887	6.556697e-05	149.0	-0.003491713	12.99024	0.115571104	0.00094585994	0.057424303	0.0108	-0.05035886	0.0001922863	0.03305459	140.75218	-338.01172	44.051964	-338.08008	43.91388	36.0	5883.4624
37	3040000	1.5	0.01496282	-30.171247	0.11503329	-362.22366	1219.0	1.1154361	0.26438525	5.393104e-05	149.0	-0.005951765	12.9890375	0.090941116	0.00085197506	0.037487864	0.0057	-0.08400168	-0.00045175228	0.017079515	123.92011	-336.22092	44.891926	-337.31372	43.985325	37.0	6053.391
38	3120000	1.5	0.0149685275	-30.059877	0.08303402	-362.96786	1219.0	1.1583005	0.27110448	4.5754736e-05	149.0	0.0022802844	12.988002	0.09465987	0.00082984025	0.019368172	0.0033625	0.031910848	-0.00074370624	0.017705763	132.8468	-335.27496	45.532127	-335.05493	45.481777	38.0	6224.3096
39	3200000	1.5	0.014973358	-29.854696	0.09575097	-367.84235	1219.0	1.3934302	0.25904107	4.7480986e-05	149.0	0.004338531	12.987809	0.11591041	0.0004160367	0.016372561	0.0060375	0.059981517	-1.0510445e-06	0.02974011	136.95032	-331.40875	48.458637	-330.59457	48.88009	39.0	6394.1484
40	3280000	1.5	0.014977453	-29.403938	0.13237974	-364.62405	1219.0	1.171046	0.2419714	6.543009e-05	149.0	-0.007967842	12.986537	0.09918352	0.0009658798	0.0034003258	0.0063875	-0.1119224	-0.0004739675	0.022811817	150.98927	-327.23975	51.17889	-326.95865	51.38236	40.0	6564.1973
41	3360000	1.5	0.014980911	-31.546602	0.07932215	-362.57147	1219.0	1.0846938	0.23781581	3.8821563e-05	149.0	0.0025556237	12.985242	0.090093955	0.0010843442	-0.019100666	0.0045625	0.035602797	-0.00062959583	0.015227457	146.53064	-327.38223	51.007652	-327.21417	51.15949	41.0	6734.121
42	3440000	1.5	0.014983846	-29.50742	0.09273632	-358.99417	1219.0	1.103005	0.23384981	2.9086112e-05	149.0	-0.00039739738	12.984019	0.091583945	0.0017936386	-0.05249691	0.0128375	-0.0059972177	-0.0009166584	0.011777798	141.91339	-328.04355	51.846985	-327.94247	52.050755	42.0	6904.469
43	3520000	1.5	0.014986322	-29.607737	0.096503235	-356.168	1219.0	1.1583958	0.23014808	2.9021623e-05	149.0	-0.0005240378	12.982979	0.095470116	0.0018071987	-0.07598543	0.016775	-0.009260969	0.00053923856	0.011858338	148.46272	-328.47156	55.619415	-329.5987	55.72981	43.0	7075.368
44	3600000	1.5	0.0149884205	-29.732822	0.09822304	-360.5441	1219.0	1.0492918	0.22165978	3.0463561e-05	149.0	-0.0027268198	12.981524	0.08762854	0.0013632204	-0.09616709	0.0156	-0.03899975	0.00018362851	0.0152995335	152.42705	-327.54376	55.872562	-328.18268	55.6929	44.0	7245.2495
45	3680000	1.5	0.0149901975	-29.320837	0.08313281	-351.62827	1219.0	1.5419546	0.2287832	2.4063194e-05	23.0	0.009852279	12.983928	0.12610847	0.017572206	-0.09761738	0.109725	0.12778172	0.01756498	0.032930642	133.4847	-346.09174	49.27574	-346.62823	48.386192	45.0	7405.424
46	3760000	1.5	0.0149917025	-29.509312	0.12442632	-378.79672	1219.0	2.9106877	0.24221417	8.470789e-05	149.0	0.028380431	13.123691	0.2467553	0.0020196256	-0.07989323	0.023775	0.39814427	0.0004890821	0.15288818	198.0551	-348.38306	44.4869	-348.64334	44.215027	46.0	7575.7026
