Epoch	TotalEnvInteracts	worker/CostLimit	worker/noise	learner/VVals	learner/CostVVals	worker/EpRet	worker/EpLen	worker/EpCost	learner/LossQ	learner/LossQC	learner/StopIter	learner/LossPi	learner/Lagrangian	learner/QcRet	learner/KL	learner/Entropy	learner/ClipFrac	learner/LossQcPenalty	learner/LossVallina	learner/LossVC	learner/LossV	Eval/NaturalReward	Eval/NaturalCost	Eval/AdvUniformReward	Eval/AdvUniformCost	worker/Epoch	worker/Time
0	80000	1.5	0.0	0.039949615	0.042098287	-1853.5184	1219.0	466.58203	2.1645381	0.0055439253	5.0	9.3956175	48.07256	36.559658	0.016106138	0.91643137	0.2404375	460.83795	-0.0050652125	1382.5276	20441.86	-1665.4205	466.58392	-1665.4591	466.58945	0.0	43.38256
1	160000	1.5	0.0	-59.92442	39.09565	-1682.8107	1219.0	463.01694	1.0162132	0.0009013271	5.0	0.0098264385	48.620037	39.316063	0.015272322	0.9148026	0.239625	0.3381699	-0.0035193886	7.2666283	5633.367	-1483.66	462.25064	-1483.6991	462.2528	1.0	86.7106
2	240000	1.5	0.0023027735	-126.57965	39.2751	-1513.6919	1219.0	458.3529	0.9176284	0.00034507777	6.0	-0.10820166	49.5237	39.16333	0.01836007	0.9140414	0.281075	-5.597798	-0.00057376234	2.9198062	402.348	-1288.29	455.24796	-1288.3479	455.22092	2.0	242.05742
3	320000	1.5	0.004252031	-120.97445	39.079422	-1332.9377	1219.0	449.09204	0.8194706	0.00015429073	6.0	-0.2377382	49.937897	38.574158	0.017069079	0.91370577	0.2766	-12.332014	-0.0045241723	3.8542237	380.03616	-1094.2075	442.26276	-1094.1144	442.24252	3.0	397.8052
4	400000	1.5	0.0059020403	-107.47513	38.453186	-1156.341	1219.0	436.8945	0.7651072	0.00012926661	6.0	-0.3331157	50.023445	37.627777	0.016750757	0.9132481	0.290975	-17.316929	-0.008532933	5.830763	333.37933	-892.19006	423.42606	-891.97565	423.42136	4.0	552.93945
5	480000	1.5	0.0072987443	-93.091354	37.446053	-1009.0368	1219.0	423.82123	0.74225223	0.00013859123	6.0	-0.35327142	49.974037	36.563038	0.018989969	0.9127655	0.2854625	-18.304743	-0.010690172	7.423144	254.32832	-699.59106	390.7797	-699.75183	390.7977	5.0	709.99225
6	560000	1.5	0.008481027	-80.53308	36.113705	-852.7435	1219.0	403.14096	0.67678404	0.00015949194	7.0	-0.44444558	49.125828	34.86671	0.01951498	0.9116269	0.3047875	-22.702887	-0.010331056	10.20341	240.91405	-514.30994	317.3216	-514.1553	317.34485	6.0	865.8751
7	640000	1.5	0.009481809	-67.91665	34.03678	-716.0703	1219.0	374.57736	0.5965578	0.00019639583	8.0	-0.5266321	47.379288	32.415558	0.01591467	0.9083787	0.2371125	-25.856506	-0.012802571	13.232661	200.38289	-391.13092	162.53212	-391.13586	162.51277	7.0	1021.98346
8	720000	1.5	0.010328949	-56.425674	30.852629	-605.45294	1219.0	333.10165	0.5470263	0.00026220386	14.0	-0.59727496	44.20744	28.872515	0.015787117	0.89931214	0.209425	-27.305965	-0.0120832445	15.737709	129.81226	-268.11633	52.1155	-268.14194	52.144547	8.0	1178.0045
9	800000	1.5	0.011046043	-46.96388	25.103603	-504.2004	1219.0	251.22635	0.4635024	0.00029395026	137.0	-0.8882755	36.80113	21.860395	0.0150584	0.8102903	0.128675	-33.9049	-0.013726333	21.835888	67.82987	-12.908904	332.30505	-13.104769	332.87234	9.0	1344.4633
10	880000	1.5	0.01165305	-39.113636	15.635253	-419.5778	1219.0	132.0836	0.3548669	0.00038070488	149.0	-1.1131029	25.427124	11.298298	0.0072664674	0.7280969	0.0647625	-29.509644	-0.0074575203	26.033142	39.553337	-6.6486773	332.5941	-6.6398096	332.59662	10.0	1512.8215
11	960000	1.5	0.012166867	-34.246296	9.553707	-387.02942	1219.0	104.10593	0.29243287	0.000441074	149.0	-0.29501718	22.915173	8.365457	0.005994737	0.64883286	0.0587125	-7.1351624	-0.0076322914	6.6380305	21.262186	-5.672348	332.68848	-5.671894	332.68747	11.0	1680.1403
12	1040000	1.5	0.012601807	-31.170534	6.8833947	-362.93527	1219.0	79.70256	0.24836206	0.0005169886	149.0	-0.12494664	20.719452	6.375777	0.0063339835	0.57102495	0.058275	-2.7724345	-0.0075917086	4.702681	14.653431	-4.6869817	332.77136	-4.7263165	332.76752	12.0	1848.412
13	1120000	1.5	0.012969971	-29.144135	5.204403	-339.83963	1219.0	61.24873	0.23746423	0.0003783525	149.0	-0.0725725	19.06982	4.887967	0.0061976677	0.49401376	0.0564625	-1.4898425	-0.00747002	3.3715672	13.020925	-4.225138	332.81342	-4.232854	332.81406	13.0	2017.3418
14	1200000	1.5	0.0132816145	-27.229116	3.9429305	-316.42044	1219.0	47.35827	0.2004638	0.00023759727	149.0	-0.029692274	17.839058	3.7846422	0.0067583136	0.4175	0.0566625	-0.5901963	-0.007271329	3.2844996	11.421454	-3.9942918	332.84116	-3.9977062	332.84158	14.0	2185.029
15	1280000	1.5	0.013545423	-25.364119	3.120661	-296.47754	1219.0	38.863586	0.18081906	0.000121107536	149.0	0.01379707	17.083378	3.1446316	0.0064448044	0.34132433	0.0563875	0.22303003	-0.0080537945	3.4526978	9.461175	-6.087948	332.6459	-6.049183	332.65176	15.0	2353.539
16	1360000	1.5	0.013768726	-23.794073	2.8188279	-277.09604	1219.0	35.914444	0.16200283	7.3493145e-05	149.0	0.06076683	16.89576	3.0445144	0.0019995745	0.30201054	0.0114125	1.0862701	-0.005437841	4.100402	9.173594	-2.7883544	332.96265	-2.7614956	332.96164	16.0	2521.9553
