Epoch	TotalEnvInteracts	worker/CostLimit	worker/noise	learner/VVals	learner/CostVVals	worker/EpRet	worker/EpLen	worker/EpCost	learner/LossQ	learner/LossQC	learner/StopIter	learner/LossPi	learner/Lagrangian	learner/QcRet	learner/KL	learner/Entropy	learner/ClipFrac	learner/LossQcPenalty	learner/LossVallina	learner/LossVC	learner/LossV	Eval/NaturalReward	Eval/NaturalCost	Eval/AdvUniformReward	Eval/AdvUniformCost	worker/Epoch	worker/Time
0	80000	1.5	0.0	0.0059754183	-0.11591515	-1720.3665	1219.0	463.84384	1.7240055	0.0058838516	5.0	9.37603	47.78236	36.378914	0.021626983	0.92144483	0.3072375	456.64905	-0.0042464067	1382.9072	17557.94	-1487.841	462.2613	-1487.7655	462.26312	0.0	43.43659
1	160000	1.5	0.0	-72.438675	38.98318	-1515.1741	1219.0	458.29712	0.93464965	0.0010702625	5.0	-0.06836346	48.139477	38.923317	0.01940219	0.9225884	0.3011	-3.5266328	0.00033125267	16.09869	2696.4143	-1281.3496	455.168	-1281.2688	455.14877	1.0	86.940285
2	240000	1.5	0.0023027735	-115.20045	38.64615	-1335.7994	1219.0	450.80368	0.83190024	0.00038471748	5.0	-0.12055503	48.72337	38.53425	0.019832786	0.9229383	0.3007625	-6.2225814	-0.0011486935	6.972478	384.77005	-1075.0148	441.7489	-1075.2108	441.77597	2.0	132.79335
3	320000	1.5	0.004252031	-106.18591	38.336266	-1157.343	1219.0	438.2714	0.79133904	0.00017695555	5.0	-0.29529336	48.776497	37.680664	0.018044544	0.9221811	0.2889125	-14.855145	-0.006918532	7.5455766	316.84937	-873.1741	422.48172	-873.64923	422.53098	3.0	178.68929
4	400000	1.5	0.0059020403	-92.60446	37.514217	-996.55817	1219.0	423.97128	0.7046052	0.00016133563	5.0	-0.3883516	48.619373	36.59571	0.015762987	0.92076874	0.2604375	-19.504608	-0.012060412	10.726636	267.98032	-691.62146	390.91058	-691.6076	390.91705	4.0	224.64671
5	480000	1.5	0.0072987443	-79.506386	36.358643	-856.3482	1219.0	405.3375	0.665389	0.00019402464	6.0	-0.48284078	47.973175	35.11745	0.017352335	0.9187621	0.28435	-23.985022	-0.0121348025	15.093814	209.8707	-514.62714	320.16882	-514.5275	319.95563	5.0	270.63437
6	560000	1.5	0.008481027	-67.9627	34.616623	-727.644	1219.0	379.5543	0.6292108	0.00022050936	7.0	-0.57754785	46.51763	32.97244	0.015825003	0.91530126	0.237325	-27.703674	-0.013845184	19.00421	182.04082	-399.62708	164.18762	-399.61353	164.01115	6.0	316.82434
7	640000	1.5	0.009481809	-57.25077	31.797743	-616.41907	1219.0	338.61804	0.5708627	0.00025715647	12.0	-0.7213487	43.414436	29.508438	0.016142087	0.9078254	0.2283875	-32.407295	-0.012605365	23.9083	123.52453	-279.05893	43.833473	-278.95605	43.85173	7.0	363.3594
8	720000	1.5	0.010328949	-47.863625	26.276731	-508.11044	1219.0	255.42007	0.48578483	0.00028290765	140.0	-1.0779	35.9144	22.41491	0.015116133	0.8150149	0.1299375	-40.177414	-0.014410574	30.817413	73.55923	-60.276123	312.97513	-60.15215	312.93073	8.0	420.61685
9	800000	1.5	0.011046043	-39.570656	16.739052	-416.81232	1219.0	135.8616	0.35935205	0.0003504919	149.0	-1.3052335	24.462322	11.672086	0.0067561613	0.7331982	0.0638	-33.340027	-0.00764132	34.450783	46.879417	-30.456598	337.45505	-30.139524	337.06317	9.0	478.73477
10	880000	1.5	0.01165305	-33.92029	10.011872	-390.15118	1219.0	105.30196	0.3052606	0.00044089294	149.0	-0.354988	21.751446	8.607963	0.006529311	0.65419394	0.060025	-8.140175	-0.007962136	7.7775345	18.796413	-13.761268	334.64557	-13.820326	334.42636	10.0	536.8836
11	960000	1.5	0.012166867	-31.385668	6.9120626	-363.27103	1219.0	78.48829	0.26227015	0.0005543352	149.0	-0.16311996	19.277542	6.2435627	0.0066814115	0.5765706	0.0585	-3.35498	-0.00745373	5.1013455	15.436	-7.7678766	332.4977	-7.7227798	332.50052	11.0	594.9981
