Epoch	TotalEnvInteracts	worker/CostLimit	worker/noise	learner/VVals	learner/CostVVals	worker/EpRet	worker/EpLen	worker/EpCost	learner/LossQ	learner/LossQC	learner/StopIter	learner/LossPi	learner/Lagrangian	learner/QcRet	learner/KL	learner/Entropy	learner/ClipFrac	learner/LossQcPenalty	learner/LossVallina	learner/LossVC	learner/LossV	Eval/NaturalReward	Eval/NaturalCost	Eval/AdvUniformReward	Eval/AdvUniformCost	worker/Epoch	worker/Time
0	80000	1.5	0.0	0.0059754183	-0.11591515	-1720.3665	1219.0	463.84384	1.7240055	0.0058838516	5.0	9.37603	47.78236	36.378914	0.021626983	0.92144483	0.3072375	456.64905	-0.0042464067	1382.9072	17557.94	-1487.841	462.2613	-1487.7655	462.26312	0.0	43.837234
1	160000	1.5	0.0	-72.438675	38.98318	-1515.1741	1219.0	458.29712	0.93464965	0.0010702625	5.0	-0.06836346	48.139477	38.923317	0.01940219	0.9225884	0.3011	-3.5266328	0.00033125267	16.09869	2696.4143	-1281.3496	455.168	-1281.2688	455.14877	1.0	87.41528
2	240000	1.5	0.0023027735	-115.17175	38.635647	-1332.7152	1219.0	450.16107	0.81518584	0.00038397458	5.0	-0.12995782	48.663918	38.491493	0.019016365	0.9224052	0.300125	-6.7164187	-0.0018162086	7.133703	375.8148	-1075.3301	441.7596	-1075.4446	441.77188	2.0	130.97939
3	320000	1.5	0.004252031	-106.0328	38.29466	-1157.6475	1219.0	437.56714	0.7839736	0.00017209578	5.0	-0.29812354	48.708263	37.636055	0.01809352	0.92127424	0.2886125	-15.063704	-0.007039235	7.6834273	313.3273	-873.7173	422.52682	-873.76965	422.49875	3.0	174.55856
4	400000	1.5	0.0059020403	-92.803085	37.498657	-997.7343	1219.0	424.74307	0.7025149	0.00015611775	5.0	-0.36997548	48.686043	36.64946	0.015671816	0.9195575	0.261725	-18.57818	-0.012566927	10.319611	269.35443	-691.692	390.91006	-691.5768	390.93124	4.0	218.26228
5	480000	1.5	0.0072987443	-79.59965	36.423088	-856.38885	1219.0	406.4115	0.6989417	0.00018375824	6.0	-0.47822684	48.075237	35.203327	0.018350666	0.9168778	0.284725	-23.763355	-0.012808557	15.056511	223.37033	-514.6013	320.1552	-514.52	320.00836	5.0	261.99664
6	560000	1.5	0.008481027	-67.975525	34.63437	-728.4485	1219.0	377.97574	0.64038193	0.00020218625	7.0	-0.6157005	46.370937	32.851456	0.01567768	0.9127131	0.2313875	-29.453293	-0.014716736	20.523434	168.65207	-400.95935	166.21089	-401.0165	166.49217	6.0	305.9391
7	640000	1.5	0.009481809	-57.500412	31.732	-614.0237	1219.0	336.37662	0.57798904	0.00021351087	12.0	-0.7492626	43.220146	29.3632	0.015279586	0.9046678	0.2269875	-33.566105	-0.013121626	25.762146	124.261284	-284.2529	41.64871	-284.36316	41.63233	7.0	350.35007
8	720000	1.5	0.010328949	-48.064137	26.631472	-513.7767	1219.0	262.27	0.48635826	0.00022466229	128.0	-1.0318228	36.589207	22.979574	0.015050963	0.82057863	0.1259375	-39.08383	-0.01491238	30.509056	73.375305	-70.01596	303.63745	-70.96471	303.0508	8.0	404.57565
9	800000	1.5	0.011046043	-39.907112	17.540606	-425.60168	1219.0	142.33914	0.34730026	0.00029385096	149.0	-1.3511151	25.117783	12.345566	0.006949179	0.7387933	0.063725	-35.39596	-0.007889864	35.850452	43.383522	-32.543488	334.96008	-32.706696	335.14032	9.0	462.05765
10	880000	1.5	0.01165305	-34.569057	10.452176	-392.77753	1219.0	105.95615	0.29461244	0.00031974932	149.0	-0.4448791	21.830273	8.719143	0.006299827	0.6598864	0.059725	-10.216185	-0.007954017	9.001199	20.5753	-8.521048	332.4449	-8.485495	332.44656	10.0	521.74
11	960000	1.5	0.012166867	-31.8054	7.382799	-365.89575	1219.0	84.49435	0.26745516	0.00045237743	149.0	-0.14891475	19.958977	6.792521	0.006051452	0.5823478	0.0573125	-3.1800985	-0.007866413	4.8419647	16.27101	-7.3415055	332.532	-7.2768927	332.53348	11.0	577.8435
12	1040000	1.5	0.012601807	-29.413332	5.2426763	-339.19876	1219.0	59.408142	0.2229404	0.00037409467	149.0	-0.1259278	17.61271	4.730185	0.0059648417	0.5055408	0.055825	-2.3891969	-0.00776063	4.426074	13.329454	-6.2849836	332.62634	-6.290733	332.6241	12.0	636.2488
13	1120000	1.5	0.012969971	-27.30789	3.760557	-314.22534	1219.0	46.063046	0.21271141	0.000115206814	149.0	-0.014566107	16.433159	3.6721692	0.0054966505	0.4302869	0.0541125	-0.2755954	-0.0073560835	3.937441	12.072139	-5.6268706	332.6917	-5.6504087	332.68683	13.0	696.14667
14	1200000	1.5	0.0132816145	-25.32356	3.1426263	-299.82892	1219.0	38.735504	0.19814906	6.426482e-05	149.0	0.011714101	15.801179	3.1544886	0.003831065	0.37263566	0.0328375	0.19003676	-0.0071819704	2.9559646	9.324022	-4.7408376	332.76633	-4.762843	332.76517	14.0	752.61395
15	1280000	1.5	0.013545423	-24.060516	2.8910615	-280.11053	1219.0	37.172874	0.17634025	4.6348196e-05	149.0	0.07617706	15.7491455	3.1856902	0.0026132138	0.31902292	0.0261875	1.2701802	-0.0059337984	4.3126845	9.100352	-5.8208146	332.67282	-5.7927055	332.67587	15.0	810.1476
16	1360000	1.5	0.013768726	-22.617584	3.085806	-271.96545	1219.0	36.05556	0.16302307	3.269183e-05	149.0	0.05194645	15.741469	3.2820606	0.0023199387	0.2702775	0.0208375	0.86512196	-0.0052243625	3.6925163	6.29058	-25.163225	332.51617	-24.228655	332.92975	16.0	869.054
17	1440000	1.5	0.013957752	-21.840294	3.2639716	-259.119	1219.0	37.56778	0.15671653	2.7130376e-05	52.0	0.08892507	15.998588	3.6244907	0.015384552	0.24875115	0.04585	1.4867394	0.0068643936	4.5330215	6.5517898	-240.50436	175.59212	-240.32097	175.53435	17.0	916.75507
18	1520000	1.5	0.014117749	-20.973438	3.6249902	-263.10037	1219.0	37.25234	0.16216359	2.0951638e-05	134.0	0.0376211	16.072687	3.7764	0.015664157	0.22603725	0.0526125	0.59426826	0.017882662	3.4823387	7.527683	-205.87228	195.08577	-206.16107	194.63661	18.0	972.78235
19	1600000	1.5	0.014253196	-21.319244	3.7792692	-275.67648	1219.0	35.02478	0.18210958	1.6406664e-05	2.0	-0.028068155	15.9500675	3.6592753	0.023671653	0.22579382	0.0631	-0.53112596	0.034589723	2.767494	15.371341	-254.77953	147.11324	-254.4143	147.02603	19.0	1016.65015
20	1680000	1.5	0.014367847	-22.42708	3.5590227	-292.51093	1219.0	28.119934	0.2049909	1.572484e-05	1.0	-0.14169663	15.349112	2.9595468	0.027381586	0.2257104	0.0662875	-2.3444192	0.04580675	3.6333952	21.30887	-302.3789	92.29699	-301.8845	92.22013	20.0	1059.8484
21	1760000	1.5	0.014464887	-23.819958	2.8509538	-310.1397	1219.0	21.076035	0.2420073	1.7457452e-05	5.0	-0.17238535	14.712744	2.126244	0.016242765	0.22547007	0.0577375	-2.7630594	0.024390545	3.7133727	40.29597	-280.53833	126.50629	-280.58044	126.374916	21.0	1103.4247
22	1840000	1.5	0.014547037	-25.225428	2.2044716	-296.7066	1219.0	26.278368	0.21779212	1.3547515e-05	5.0	0.12963782	15.303453	2.7649674	0.052010357	0.22543716	0.0622	1.9908898	0.06263424	2.8922489	23.76154	-315.20764	94.68181	-315.54343	94.29145	22.0	1146.908
